st_loc,building_typology,0
AUCKLAND ST,Multi-Family (2 units),14
AUCKLAND ST,Multi-Family (3 units),15
AUCKLAND ST,Single-Family,6
AUCKLAND ST,Vacant,1
AUGUSTUS AV,Multi-Family (2 units),15
AUGUSTUS AV,Multi-Family (3 units),2
AUGUSTUS AV,Single-Family,12
AUGUSTUS AV,Vacant,1
AURIGA ST,Single-Family,23
AUSTIN AV,Vacant,1
AUSTIN AV,Warehouse,1
AUSTIN ST,Convention/Assembly,2
AUSTIN ST,Multi-Family (2 units),39
AUSTIN ST,Multi-Family (3 units),5
AUSTIN ST,Office,5
AUSTIN ST,Residential (Mixed-Use),1
AUSTIN ST,Retail,1
AUSTIN ST,Single-Family,70
AUSTIN ST,Vacant,13
AUTUMN ST,Medical/Lab/Production,6
AUTUMN ST,Single-Family,7
AUTUMN ST,Vacant,1
AVALON RD,Multi-Family (2 units),3
AVALON RD,Single-Family,27
AVALON RD,Vacant,1
AVENUE DE LAFAYETTE ,Convention/Assembly,2
AVENUE LOUIS PASTEUR ,Convention/Assembly,1
AVENUE LOUIS PASTEUR ,Medical/Lab/Production,2
AVENUE LOUIS PASTEUR ,School,1
AVERBUCH TE,Multi-Family (4-6 units),1
AVERTON ST,Multi-Family (2 units),7
AVERTON ST,Multi-Family (3 units),6
AVERTON ST,Single-Family,8
AVERTON ST,Vacant,1
AVERY PL,Vacant,1
AVERY ST,Residential (Mixed-Use),1
AVILA RD,Multi-Family (3 units),2
AVILA RD,Single-Family,8
AVILA RD,Vacant,3
AVON PL,Single-Family,5
AVON PL,Vacant,2
AVON ST,Office,1
AVON ST,Single-Family,4
AVON ST,Vacant,1
AVONDALE ST,Garage,1
AVONDALE ST,Multi-Family (2 units),2
AVONDALE ST,Single-Family,11
AYLES RD,Single-Family,21
AYR RD,Multi-Family (2 units),2
AYR RD,Multi-Family (7-30 units),2
AYR RD,Residential (Mixed-Use),1
B ST,Convention/Assembly,1
B ST,Medical/Lab/Production,2
B ST,Residential (Mixed-Use),2
B ST,Retail,2
B ST,Single-Family,6
B ST,Vacant,15
B ST,Warehouse,3
BABBITT ST,Convention/Assembly,3
BABCOCK ST,Convention/Assembly,2
BABSON ST,Garage,1
BABSON ST,Multi-Family (2 units),9
BABSON ST,Multi-Family (3 units),3
BABSON ST,Office,1
BABSON ST,School,1
BABSON ST,Single-Family,17
BABSON ST,Vacant,2
BABSON ST,Warehouse,1
BABSON ST,Worship,1
BACK ST,Vacant,1
BADGER PL,Single-Family,1
BADGER PL,Vacant,2
BADGER RD,Single-Family,31
BAGNAL ST,Multi-Family (2 units),4
BAGNAL ST,Single-Family,1
BAILEY ST,Multi-Family (2 units),7
BAILEY ST,Multi-Family (3 units),25
BAILEY ST,Multi-Family (4-6 units),2
BAILEY ST,Multi-Family (7-30 units),1
BAILEY ST,Office,1
BAILEY ST,Single-Family,16
BAILEY ST,Vacant,2
BAIRD ST,Multi-Family (3 units),13
BAIRD ST,Office,1
BAIRD ST,Vacant,4
BAIRD ST,Warehouse,1
BAKER AV,Multi-Family (2 units),1
BAKER AV,Single-Family,4
BAKER AV,Vacant,2
BAKER CT,Multi-Family (2 units),2
BAKER CT,Multi-Family (4-6 units),1
