OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Criminal Mischief-Property,2016-05-30,3435 S YOSEMITE ST
Larceny,2016-07-19,4765 N FEDERAL BLVD
Burglary,2016-01-29,1861 S JACKSON ST
Burglary,2016-04-20,1015 W EVANS AVE
Criminal Mischief-Property,2017-07-18,2806 S LAMAR ST
Burglary,2016-10-08,1885 W DARTMOUTH AVE
Burglary,2017-03-12,2394 S BROADWAY ST
Burglary,2016-02-06,260 N BROADWAY ST
Burglary,2016-08-08,970 S ONEIDA ST
Burglary,2017-07-17,130 N LIPAN ST
Burglary,2016-08-08,4305 N BRIGHTON BLVD
Theft from Motor Vehicle,2016-08-07,24200 E 78TH AVE
Robbery-Street-Res,2016-03-05,3215 W AVONDALE DR
Burglary,2016-01-10,318 N GROVE ST
Larceny,2017-03-12,2900 BLOCK LARIMER ST
Simple Assault,2017-05-02,E 17TH AVE / N GRANT ST
Larceny,2017-05-09,2190 S JASON ST
Robbery-Street-Res,2017-05-01,1080 N SHERIDAN BLVD
Larceny,2016-05-13,5077 N COLORADO BLVD
Burglary,2016-08-09,755 S FEDERAL BLVD
Criminal Mischief-Property,2017-01-12,4125 N ELATI ST
Burglary,2017-01-12,1770 S ACOMA ST
Burglary,2017-06-28,3995 E 50TH AVE
Burglary,2017-07-22,2426 S FEDERAL BLVD
Burglary,2017-07-22,468 S FEDERAL BLVD
Burglary,2017-02-07,183 W ALAMEDA AVE
Larceny,2017-02-07,120 S KALAMATH ST
Larceny,2017-06-27,900 S BROADWAY ST
Burglary,2016-09-17,399 S HARRISON ST
Burglary,2017-08-13,2440 W EVANS AVE
Robbery-Business,2017-08-14,5130 E COLFAX AVE
All Other Crimes,2017-03-15,1555 CHAMPA ST
Larceny,2016-02-09,2001 S BROADWAY ST
Simple Assault,2015-12-03,E ARIZONA AVE / S BIRCH ST
Larceny,2015-12-11,1331 19TH ST
All Other Crimes,2015-12-11,1331 19TH ST
Burglary,2017-03-22,1865 S ACOMA ST
Simple Assault,2017-04-03,1500 BLOCK COURT PL
Burglary,2016-02-27,2121 E 44TH AVE
